from_id to_id,edge_weight
1688220386 1688220287,0.10442395762902415 1688220424,0.06137976973582306
5244338893 5244338894,0.0044846880358935075 5244338892,0.004224872563667267
5244338894 5244338893,0.0044846880358935075 5244338895,0.005447854568380751
5244338895 5244338894,0.005447854568380751 5244338896,0.004484688035429385
5244338896 5244338895,0.004484688035429385 5244338897,0.004695784891962389
5244338897 5244338896,0.004695784891962389 5244338898,0.005329966238989552
5244338898 5244338897,0.005329966238989552 5244338899,0.004764202540166706
1155399734 419041929,0.02134267134947238 5279761627,0.012175267595001961
5244338899 5244338898,0.004764202540166706 5244338900,0.005012670885339577
1688220397 1688220405,0.02315392578421217 1688220336,0.0696100352707307
5244338900 5244338899,0.005012670885339577 5244338901,0.004563938705532794
5244338901 5244338900,0.004563938705532794 5244338902,0.009948665034727916
5244338902 5244338901,0.009948665034727916 419059111,0.04107902557411777 5244338903,0.00823503901972063 419059270,0.06719645653412239
3893100615 995408767,0.015570750983371722 1219471484,0.024822630554974502
3893100616 1705401318,0.03513149942986712 1769741855,0.009330274278770066
5244338903 5244338902,0.00823503901972063 5244338904,0.006162847197084706
5244338904 5244338903,0.006162847197084706 5244338905,0.006540344167477342
5244338905 5244338904,0.006540344167477342 5244338906,0.0058758824266673775
5244338906 5244338905,0.0058758824266673775 5244338907,0.004813696589476245
2085879897 6350751390,0.06423919934153223 6350751388,0.09532025857529257
5244338907 5244338906,0.004813696589476245 5244338908,0.004581938957411912
5244338908 5244338907,0.004581938957411912 5244338909,0.00557203105469274
5244338909 5244338908,0.00557203105469274 5244338910,0.004892510319696364
3689283722 1305095397,0.047486000142787234 419062977,0.22467255485765883
1155399825 419042429,0.020370441956210163 1155399605,0.014459695744604248
1155399826 1156438871,0.07295606998487952 1185682118,0.011031393901630347
4120772808 4120772811,0.014350754471934637 419039606,0.021762404799790233
4120772811 4120772808,0.014350754471934637 419039764,0.025312464597591906
4120772848 419039961,0.020557572141649976 3659038519,0.04695183278992409
3735683329 3204137750,0.017061840588817507 419071485,0.009401476516545998
3735683330 419071485,0.007535951198089316 419071514,0.05737618515733146
5395579144 5010068220,0.07100568329683514 4999379239,0.005922544817692515
1634992395 419062915,0.07495684267839049 6379268891,0.07545854803913304
